id,cluster
2aCB7ofwY2A6hnddoyxGpL ,39
3k2KNKdvXceiVlT3P6WgVh ,8
5vX8UF3ez70RtHGgG1SyyZ ,39
4mywVtK0JAVcNayyXqPAiw ,39
60pktEiuAkNBraTVcWEpGk ,34
7I6hkWQ87DnCDssXxM23OS ,10
6OQ7HQCHCkSovSTf7YitWu ,1
4kt08NDdzK90uAvGslxnP9 ,16
0spaUBXopbUlvSmZTXpBsZ ,1
0DcrhZ12WcCqruCs8ibXSf ,8
4kNWml50ULJY4EtGpQlwuv ,18
6scUEism6pBnY0IXYr8fw3 ,39
7nXvSGrm5YH2HvRIhYam59 ,8
2oezpnnea1VXHpJEbqnBhw ,16
7wYsRyalQ9c9aatWwxj37Z ,4
1p4ULF9Jtg0XMeiXxXX2Jl ,3
6bNjJfq9oQGnqicO0iphsa ,36
7jDl4VFPZrccBp6SYIYwMX ,34
31XlN6zPYYD95hTKgRbYql ,16
0dRh2oB1UmTeUKfyOLT3hf ,39
7B27O9YqhfzqcEmJ8ej2Gh ,8
1D0Egcl8AQmcgLTcQTjmRg ,30
4sqOlOtDSp2mer4lP0kztf ,0
073xNYa6V1SQwoVG7hsIa5 ,18
2co19l4ffKkkJtCPDrhGWr ,36
00XrSeoUJusUuWvqd08lyF ,16
518QSGa9aB36nGXnd1FCBE ,16
6u8psOqxdqNrMpPXLiZQzV ,38
3WU1BGMLe9Tg2QuVmRPpw6 ,34
3wbZ4SLakqTZqV76czDeuZ ,39
55f4JiHsK46ftCjzr5CiKl ,24
14qE6JmBsGAYlOYBjjADan ,20
1yseTlxwUU3AdauSfpUR0G ,34
641jN6NwVo34wYbbRn2LWB ,38
7ACc7r473XCz9nukTlmbNj ,8
3lPAHV0b53zgRRm9LBgnTY ,30
08eDcdt3dCbjVhnfBeEEbH ,18
3A4hbYnbCBrvokTishe4MG ,16
4poIJyEYP1QPLPZ8pIPFz2 ,18
6urCNDKBFK8oIimmPfpQ2r ,21
5E2ivmmWqJINn0716sYc4c ,8
5I9KgBmNGru0YgII16fx7D ,18
3NYCaxkggl0Hh8vQptSUvV ,38
2pnMayQxS5BBAKbIXoqECN ,20
0L6jioMhnY147bVXMNFH5P ,1
1FwdUkQ8BUZOCqopatIe0S ,16
6c1CZxHYVRKUTMd8XRfE94 ,8
0mG8Hety4RELeo6p808fcy ,31
2Hg3t86fN2WAKY8HeaJc7q ,34
3tP4my7TKOF4oe3K6fNLnr ,18
47O5lXcK78Z3TIiGzuc18l ,39
1lr7OhYQLiyLq7hL8oFbVk ,8
6E7H4DXDKYpA1tlGzjlVAb ,38
1gfLXyCT1B4WY3lWrvcUiX ,9
5BP0oaQ1VhuaznT77CBXQp ,34
04GyFGGvAyItrPfeV0HNj2 ,6
55nE9EppLFdb0I1HBg2O2m ,4
28p1SLbMO6siuihTjX5FQF ,20
1O6WU5bc8wVOkeITmDAVMd ,18
3fVpEPQ4BJ8K6tgm1Qdqh0 ,21
1x2aQSZRbipvLiquyPHHYE ,1
0iwvgz7kQAnF9DREWhg49g ,29
3JkRQxhHi4g8FH8HeW9Yed ,18
1kSfJ6FTfXou4dAw51xbc1 ,20
37dfPnGuxOSITI8Hnc0uOD ,25
6flSDPnfzkl2uWxJD5cztr ,8
7uJSjUzf12mLSlkUdKOq3t ,37
2Atrze5YFzgu96QamdyIA6 ,34
3CCGsOj2efotChiScMmCWg ,4
1XGwjdHXHNu3842f75eg3T ,39
7qQwJvMRSaSppu4b6loDAZ ,16
17HjousiIdup2E8Rba2Gqz ,4
7nQF36DjelDA5riIJpsjfF ,25
090aQrLAGOO1dPl8fBvKAU ,1
5DsIC4wlfuBxVBXMZmfTSk ,4
1zPn4tfkWfowVG3ROo1wUY ,1
5j6ZZwA9BnxZi5Bk0Ng4jB ,25
2os0aK782bakCPmjow0SU0 ,34
1mn35N91WIx1DKBcW5qcJh ,1
2Vsd9OvQoupID4ed9tWvZK ,34
2u7zaBwiRpdYIVI8zPCWtq ,9
1lzr43nnXAijIGYnCT8M8H ,20
2WTxIQ0ufU7AxT43ZKpllY ,0
1Fe4nwwkPniv6nw7MlXCE3 ,7
1MsyEbEQca1sfC9JnkKnOm ,9
46OtQ3H8ZmAhSXVtRz2cOZ ,20
1UNP66Mr3sPB3ItYt5bEUe ,34
6M340zMdDE9adjn5PWZS2o ,25
19I1fV3onSGEWPh2kgTbQB ,30
0l2L2pk470I0GcaF5DUvMC ,16
1zslgr9HID45M5GjUDbo0k ,10
7DDU2GljfW6HV5SQ7ZNnmE ,25
5FLPz4PIuy1dehS0JMuEFH ,1
07Rbm8AmnULxJVc2pZmk0I ,34
6cTzdFQDV7B3Au4TJHSiRo ,4
2BAZWquetSZjjk4r2ccsAm ,25
1unwCjn9z9fs9DTnaySuNi ,39
4LiSXw8550M0SCQK03D65g ,8
1p2TWJxUlHE5JR0sE6E1d7 ,31
5MJ8GXfwO3vHEZ4SGLKLY4 ,18
1fRTOpUEhLSjF1InQhDCQ2 ,16
7lGCq7kGHwOB2s47GaPKwl ,16
0odIT9B9BvOCnXfS0e4lB5 ,1
4VrWlk8IQxevMvERoX08iC ,34
2sHvg2MR3FiUjseKAIZQdf ,1
0AECVMjxepWdsjDb49JFRd ,24
77JmeeKEsAkYHZRRWYnvXX ,36
1FQvP9kcdnY3GHkLUopFc3 ,32
6IwbrqhA8HxDwcIWNbAbGV ,20
3zOILDgiueK2pFLXbxPPAJ ,38
0ofMkI3jzmGCElAOgOLeo3 ,38
307MEhGqYwFe7mA7pf7a8o ,20
0kEwYCc9znHQObgdUh6dGl ,1
6vQHxIHj6mFAsHgP6F52tf ,22
2bC2DSTXoDaCjRW6AIdzUu ,9
